Product_ID,Product_Name,Brand,Model,Category,Market_Price,Purchase_Amount,Discount_Applied,Rating,Feedback,Customer_ID,Age,Gender,City,Purchase_Date,Payment_Method,Repeat_Customer,Competitor_Name,Competitor_Model,Competitor_Price,Competitor_Rating,Promotion_Competitor,Market_Share,Competitor_Feedback,Feedback_Sentiment,Feedback_Score,Competitor_Sentiment,Competitor_Score
PRD29283,Lipstick,Dove,Dove Velvet Liquid Lipcolor,Beauty,590.87,491.44,No,4.5,Battery drains fast,de4b2a3c-adad-4b57-bde6-e7fe7d846ef6,32,Other,Robertview,2024-05-11,Credit Card,Yes,Maybelline,SuperStay Matte Ink,120,3.6,Yes,40,Durable product,NEGATIVE,0.7297149896621704,POSITIVE,0.9998296499252319
PRD15178,Dress,Nike,Nike Sportswear Dress,Electronics,399.4,322.26,No,3.6,Value for money (positive),ba4ef45d-d9b5-4ae0-bf93-9883a59e8b65,30,Female,Kevinview,2024-08-22,Credit Card,Yes,Zara,Satin Slip Dress,60,4.0,No,10,Packaging issue,POSITIVE,0.9998134970664978,NEGATIVE,0.9910193085670471
PRD34305,Lamp,Philips,SHP LED Desk Lamp,Electronics,374.3,343.2,No,3.2,Low quality,7041f59f-d18e-48b3-878f-c355504612d7,25,Female,Chrisfurt,2024-11-26,Cash on Delivery,No,Panasonic,Desk Lamp SQ-LD221,60,4.1,No,30,Satisfied customer,NEGATIVE,0.9997710585594177,POSITIVE,0.9997509121894836
PRD12610,Dress,Puma,Puma Classics Dress,Electronics,56.38,46.55,Yes,4.4,Usability issue,7b4d30dd-e040-4767-b4fa-cc96e8d1e160,51,Male,New Joshua,2024-07-12,Cash on Delivery,No,Nike,Sportswear Dress,50,4.3,Yes,20,Low quality,NEGATIVE,0.8492327928543091,NEGATIVE,0.9997710585594177
PRD12145,Smartphone,LG,LG Series X1,Electronics,293.74,261.76,No,4.3,Packaging issue,2b205ebc-d1aa-4507-97b5-f6c896c47bac,48,Female,South Rebecca,2024-09-10,UPI,No,Xiaomi,13 Pro,70,4.6,No,20,Durable product,NEGATIVE,0.9910193085670471,POSITIVE,0.9998296499252319
PRD06114,Headphones,Sony,WH-1000XM4,Electronics,276.19,261.0,Yes,3.9,Value for money (positive),5173cb16-02ba-4aa6-a9c4-194f9d372867,51,Male,Lake Felicia,2024-05-26,UPI,No,Sennheiser,HD 450BT,520,3.6,No,20,Heating problem,POSITIVE,0.9998134970664978,NEGATIVE,0.9961709380149841
PRD15909,Jacket,Adidas,Essentials Down Jacket,Clothing,25.34,23.34,No,3.7,Heating problem,ee4e2047-7006-4e0e-bab3-9059218509f8,32,Other,West Jamieton,2024-07-19,Credit Card,No,Puma,Essentials Padded,90,4.1,Yes,42,Satisfied customer,NEGATIVE,0.9961709380149841,POSITIVE,0.9997509121894836
PRD00822,Sofa Cover,Ikea,KLIPPAN Cover,Electronics,135.13,126.88,Yes,3.8,Satisfied customer,c8eda97a-8daa-4cb4-89f4-a2074ed5937f,20,Male,East Nicholas,2024-03-16,Debit Card,Yes,Wayfair Basics,Microfiber Slipcover,50,2.9,No,10,Heating problem,POSITIVE,0.9997509121894836,NEGATIVE,0.9961709380149841
PRD15119,Smartwatch,Apple,Apple Watch Series 8,Electronics,67.97,57.42,No,4.0,Durable product,a6e6cb77-0cb4-4ac5-997c-33d651da8a41,60,Female,East Jeffery,2024-07-28,Cash on Delivery,Yes,Fitbit,Charge 6,280,4.0,No,45,Damaged item,POSITIVE,0.9998296499252319,NEGATIVE,0.9996194839477539
PRD13467,Jacket,Adidas,Essentials Down Jacket,Clothing,14.42,13.26,Yes,3.7,Heating problem,42d1255e-1f34-431f-a6db-90407f8b60b2,46,Female,North Marymouth,2024-06-20,Cash on Delivery,No,Nike,Windrunner,80,4.4,Yes,40,Slow delivery,NEGATIVE,0.9961709380149841,NEGATIVE,0.9997106194496155
PRD26498,Face Cream,L'Oreal,Age Perfect Night Cream,Beauty,454.8,388.26,Yes,4.1,Heating problem,03ad245a-0305-4833-b379-257a40f712b1,46,Other,Port Russell,2024-09-13,Credit Card,Yes,Olay,Regenerist,50,3.8,No,30,Satisfied customer,NEGATIVE,0.9961709380149841,POSITIVE,0.9997509121894836
PRD42112,Headphones,Apple,AirPods Max,Electronics,69.52,59.7,No,4.3,Heating problem,016e046e-09e2-427d-925b-bf1a52ae9c29,26,Female,Mariaton,2024-05-31,Credit Card,No,JBL,Tune 230NC,280,3.2,Yes,40,Damaged item,NEGATIVE,0.9961709380149841,NEGATIVE,0.9996194839477539
PRD30189,Perfume,Dove,Purely Pampering Body Mist,Beauty,193.43,174.41,No,3.6,Durable product,9e6c0da2-0421-4f2d-8114-1b2952b4713a,20,Female,Clarkshire,2024-02-17,Debit Card,Yes,MarketBrand,Perfume Pro Series,110,3.5,No,35,Usability issue,POSITIVE,0.9998296499252319,NEGATIVE,0.8492327928543091
PRD37238,T-Shirt,Adidas,Adidas Originals Trefoil Tee,Clothing,90.05,78.62,No,3.6,Damaged item,77d7e036-6b71-494a-9752-7a4aea5d9823,34,Female,Port Reginaldton,2024-12-29,UPI,No,Puma,Run Favorite Tee,70,4.2,Yes,42,Value for money (positive),NEGATIVE,0.9996194839477539,POSITIVE,0.9998134970664978
PRD33110,Sofa Cover,Whirlpool,Whirlpool Cotton Sofa Slipcover,Electronics,113.27,100.57,No,3.9,Battery drains fast,226a8faf-6d0e-498a-86bf-4e52846100bf,24,Other,Carneyfort,2024-12-13,Debit Card,No,Ikea,EKTORP Cover,50,3.7,Yes,20,Satisfied customer,NEGATIVE,0.7297149896621704,POSITIVE,0.9997509121894836
PRD36481,Curtains,Panasonic,Panasonic Blackout Curtain Set,Electronics,614.04,499.61,Yes,4.5,Usability issue,8112aad5-ea0d-4a37-90c7-878a0c1f06d5,40,Other,North Carla,2024-05-08,Cash on Delivery,No,Pottery Barn,Velvet Curtain,50,3.2,No,20,Low quality,NEGATIVE,0.8492327928543091,NEGATIVE,0.9997710585594177
PRD24149,Jeans,Levi's,501 Original,Electronics,230.93,218.84,No,3.1,Low quality,d61ae7eb-df58-4013-899e-b76bf188157f,28,Female,Ellisville,2024-07-06,UPI,No,Wrangler,Texas,70,3.6,No,30,Low quality,NEGATIVE,0.9997710585594177,NEGATIVE,0.9997710585594177
PRD05504,Curtains,Philips,Philips Thermal Curtain Set,Electronics,496.94,471.86,Yes,3.7,Satisfied customer,740ca874-ae0c-4fd9-888b-ad89afd18991,56,Male,Rodriguezland,2024-04-19,Credit Card,Yes,Home Centre,Sheer Panel Pair,70,3.9,No,20,Usability issue,POSITIVE,0.9997509121894836,NEGATIVE,0.8492327928543091
PRD03919,Jeans,Adidas,Adidas Denim Tapered,Electronics,354.87,289.62,No,3.7,Value for money (positive),47836c4c-a9dd-446a-831b-37d2b460b9e5,49,Other,Tonyaton,2024-04-29,UPI,No,Wrangler,Greensboro,80,3.5,Yes,45,Damaged item,POSITIVE,0.9998134970664978,NEGATIVE,0.9996194839477539
PRD38479,Lamp,Panasonic,Panasonic LED Desk Lamp SQ-LD221,Electronics,333.84,286.32,No,4.2,Battery drains fast,bcff84a9-5686-49f0-9e45-990d6e613935,51,Other,West Christopherton,2024-03-24,Credit Card,No,Philips,Hue Go,60,3.3,Yes,20,Battery drains fast,NEGATIVE,0.7297149896621704,NEGATIVE,0.7297149896621704
PRD21124,Smartwatch,Sony,SmartWatch 3,Electronics,136.92,122.72,No,4.1,Slow delivery,4d38b450-065b-4c07-85c6-e88e4bca5544,23,Female,North Seanfurt,2024-07-04,Credit Card,No,Amazfit,GTR 4,520,3.7,No,30,Damaged item,NEGATIVE,0.9997106194496155,NEGATIVE,0.9996194839477539
PRD49718,Lipstick,L'Oreal,Color Riche Shine,Beauty,294.79,250.95,Yes,3.6,Durable product,aa8b4a45-b753-4022-aab3-820434f9bbca,36,Female,Shannonhaven,2024-07-01,Credit Card,Yes,Revlon,Ultra HD Matte,70,4.1,Yes,20,Slow delivery,POSITIVE,0.9998296499252319,NEGATIVE,0.9997106194496155
PRD42295,Jeans,Adidas,Adidas Denim Slim,Electronics,108.51,89.45,No,4.1,Slow delivery,c95dc39b-b69c-4332-ab7c-ed2c11e26898,29,Female,Lake Jamesport,2024-05-29,Debit Card,No,Levi's,501 Original,90,3.9,Yes,45,Packaging issue,NEGATIVE,0.9997106194496155,NEGATIVE,0.9910193085670471
PRD47610,Jeans,Nike,Nike Denim Relaxed,Electronics,228.39,186.77,No,3.9,Usability issue,12d7fb36-aced-4781-9eb8-abaeafa0b6fe,54,Other,Port Michaelshire,2024-08-29,Debit Card,No,Wrangler,Greensboro,70,3.9,Yes,30,Durable product,NEGATIVE,0.8492327928543091,POSITIVE,0.9998296499252319
PRD11077,Sofa Cover,Whirlpool,Whirlpool Premium Sofa Protector,Electronics,490.84,432.78,Yes,3.6,Slow delivery,d31a0404-a481-444c-979d-5f0fed7c2ade,21,Male,East Alanmouth,2024-09-23,Credit Card,No,Home Centre,Quilted Protector,50,3.1,No,20,Satisfied customer,NEGATIVE,0.9997106194496155,POSITIVE,0.9997509121894836
PRD41515,Face Cream,Dove,Dove Moisturizing Cream,Beauty,391.32,337.15,Yes,4.1,Satisfied customer,fd34a96b-4450-46ac-b14b-e8ffa75856ac,22,Male,Dianachester,2024-11-03,Credit Card,Yes,Lakme,Peach Milk,120,3.7,Yes,35,Satisfied customer,POSITIVE,0.9997509121894836,POSITIVE,0.9997509121894836
PRD22063,Dress,Levi's,Levi's Utility Dress,Electronics,433.44,409.98,Yes,3.3,Battery drains fast,a26a5694-6d27-42bd-a91d-e9dc32454f88,54,Male,Jeremymouth,2024-02-10,Credit Card,Yes,H&M,Linen-Blend Dress,60,3.1,Yes,30,Durable product,NEGATIVE,0.7297149896621704,POSITIVE,0.9998296499252319
PRD09414,Face Cream,Sephora,Sephora All Day Hydrator,Beauty,427.16,354.79,Yes,4.4,Low quality,27ec1590-59ad-4c72-b941-b27f7c32c2c6,21,Male,Rachaelside,2024-09-23,Cash on Delivery,No,Olay,Regenerist,50,4.2,No,10,Satisfied customer,NEGATIVE,0.9997710585594177,POSITIVE,0.9997509121894836
PRD38341,Lipstick,L'Oreal,Color Riche Shine,Beauty,54.47,45.12,Yes,3.7,Value for money (positive),de868d62-e90e-436a-9dcc-19b08734dff4,46,Female,Santanabury,2024-10-19,Debit Card,No,Maybelline,SuperStay Matte Ink,60,4.0,No,10,Low quality,POSITIVE,0.9998134970664978,NEGATIVE,0.9997710585594177
PRD30264,Jacket,Puma,RTG Training Jacket,Clothing,434.27,351.4,Yes,4.0,Value for money (positive),49dddc1e-29f6-45b7-9f6c-d96639146aaf,32,Male,Butlerborough,2024-06-02,UPI,Yes,The North Face,Resolve Jacket,60,4.1,No,30,Slow delivery,POSITIVE,0.9998134970664978,NEGATIVE,0.9997106194496155
PRD41253,Perfume,Nivea,Fresh Natural Deodorant,Beauty,172.72,157.96,No,3.5,Usability issue,36b20cbf-9142-455e-8ca4-b5759e3a9e59,48,Other,Timfort,2025-01-07,Cash on Delivery,No,MarketBrand,Perfume Pro Series,70,4.3,No,20,Usability issue,NEGATIVE,0.8492327928543091,NEGATIVE,0.8492327928543091
PRD14645,T-Shirt,Levi's,Classic Logo Tee,Clothing,187.92,151.13,No,4.0,Satisfied customer,6138f3c3-e8b2-47e0-8574-226a68167c20,25,Male,Brittanyville,2024-11-18,Cash on Delivery,Yes,Under Armour,Iso-Chill Tee,60,3.8,Yes,30,Battery drains fast,POSITIVE,0.9997509121894836,NEGATIVE,0.7297149896621704
PRD26336,Face Cream,Nivea,Q10 Power,Beauty,284.14,256.13,Yes,4.5,Packaging issue,f2760ad0-4212-4ff5-bf56-ca09cb1d0088,18,Female,Morrisborough,2024-09-14,UPI,No,Garnier,Bright Complete,50,3.5,Yes,30,Battery drains fast,NEGATIVE,0.9910193085670471,NEGATIVE,0.7297149896621704
PRD28103,Jeans,Puma,Puma Straight Fit Jeans,Electronics,370.82,350.04,No,4.1,Heating problem,9f1ca125-128e-4465-aa01-551421c3e89c,24,Male,South Heather,2024-11-12,Debit Card,No,Diesel,D-STRUKT,70,3.9,Yes,30,Damaged item,NEGATIVE,0.9961709380149841,NEGATIVE,0.9996194839477539
PRD17524,Laptop,Sony,Sony UltraBook 14,Electronics,413.05,368.61,Yes,4.3,Value for money (positive),655b39c6-b7ab-481b-829b-7686f640c00b,28,Male,Port Kathryn,2024-10-09,Debit Card,Yes,Dell,XPS 13,500,4.1,No,25,Value for money (positive),POSITIVE,0.9998134970664978,POSITIVE,0.9998134970664978
PRD24713,Smartwatch,LG,LG Sport Watch X,Electronics,505.12,471.88,No,3.8,Satisfied customer,540dd476-9988-40bf-8417-848ce706068a,29,Other,Deborahhaven,2024-11-14,Debit Card,Yes,Amazfit,GTR 4,70,3.0,No,20,Usability issue,POSITIVE,0.9997509121894836,NEGATIVE,0.8492327928543091
PRD40486,Cookware,Whirlpool,Whirlpool Ceramic Cook Set,Electronics,560.11,467.72,No,3.0,Satisfied customer,f4276c5c-68cb-4f98-a2ee-69efc4a065d9,38,Other,Lindachester,2024-09-11,UPI,No,Philips,Daily Collection Kettle,70,4.0,No,20,Heating problem,POSITIVE,0.9997509121894836,NEGATIVE,0.9961709380149841
PRD03851,Headphones,Samsung,Galaxy Buds FE,Electronics,400.84,335.59,No,4.1,Usability issue,19a8d1ab-b0c0-44b7-834f-160474c9f0e3,54,Male,West Debra,2024-08-03,UPI,No,Philips,SHP9500,50,3.8,No,30,Heating problem,NEGATIVE,0.8492327928543091,NEGATIVE,0.9961709380149841
PRD40041,Smartwatch,Samsung,Galaxy Watch5 Pro,Electronics,148.44,119.4,Yes,4.0,Usability issue,e4addf9b-b25a-4726-9ad0-9ed4dee1b0ca,23,Male,New James,2024-11-05,Credit Card,Yes,Apple,Watch Ultra,60,3.9,No,10,Heating problem,NEGATIVE,0.8492327928543091,NEGATIVE,0.9961709380149841
PRD15268,Headphones,Apple,AirPods Max,Electronics,565.05,491.67,No,4.4,Battery drains fast,5e58a882-810c-40b2-b34c-88b3b00842f5,43,Male,Raymondland,2025-01-27,Cash on Delivery,No,Bose,Sport Earbuds,280,4.0,Yes,35,Usability issue,NEGATIVE,0.7297149896621704,NEGATIVE,0.8492327928543091
PRD49147,T-Shirt,Adidas,Essentials 3-Stripes Tee,Clothing,277.76,239.31,Yes,3.9,Damaged item,7e11bf0e-d0ec-4e0b-bf0f-5c5cbb2f39ba,54,Other,Monroeport,2025-02-09,UPI,No,Levi's,Classic Logo Tee,70,4.3,Yes,42,Usability issue,NEGATIVE,0.9996194839477539,NEGATIVE,0.8492327928543091
PRD30002,Laptop,Sony,Sony Notebook X,Electronics,92.61,84.58,No,3.8,Battery drains fast,81e01e0f-64a2-4657-94a5-be3e070d3e86,33,Male,Port Joe,2024-04-13,Debit Card,No,Acer,Aspire 7,520,3.5,Yes,20,Low quality,NEGATIVE,0.7297149896621704,NEGATIVE,0.9997710585594177
PRD45927,Face Cream,L'Oreal,Hydra Genius,Beauty,365.15,317.28,Yes,4.1,Slow delivery,c899c793-ece1-49f0-8547-cd486a5ea0d3,38,Female,East Victorstad,2024-08-27,Credit Card,No,Olay,Total Effects,50,4.3,Yes,10,Satisfied customer,NEGATIVE,0.9997106194496155,POSITIVE,0.9997509121894836
PRD43825,Headphones,LG,LG TONE Free FP9,Electronics,440.21,389.1,Yes,4.7,Durable product,e8ce39d2-4f83-4be1-bff0-3625db49d31f,28,Male,Coleburgh,2025-01-25,Debit Card,No,Sennheiser,Momentum 4,50,3.5,No,10,Value for money (positive),POSITIVE,0.9998296499252319,POSITIVE,0.9998134970664978
PRD17241,Smartwatch,Samsung,Galaxy Watch6 Classic,Electronics,18.15,16.17,Yes,4.5,Battery drains fast,953999a7-33e3-4274-b34e-e220c670ba6a,21,Other,Woodsborough,2024-07-01,Debit Card,Yes,Amazfit,T-Rex 2,70,3.7,No,20,Low quality,NEGATIVE,0.7297149896621704,NEGATIVE,0.9997710585594177
PRD04893,Jacket,Adidas,Future Icons Windbreaker,Clothing,119.98,97.21,No,3.6,Slow delivery,26aa9a76-62ac-40c0-b425-5b25ebd03a91,43,Male,Port Darleneville,2024-08-30,Cash on Delivery,No,Puma,PWRWarm Jacket,90,4.4,Yes,40,Slow delivery,NEGATIVE,0.9997106194496155,NEGATIVE,0.9997106194496155
PRD00726,Curtains,Philips,Philips Blackout Curtain Set,Electronics,377.32,309.64,Yes,4.0,Slow delivery,54ade6e7-d2ff-4c5c-8e07-a7be5dc73af4,40,Female,East Paulshire,2024-06-23,Credit Card,No,Target,Sheer Voile,60,3.6,No,20,Durable product,NEGATIVE,0.9997106194496155,POSITIVE,0.9998296499252319
PRD22950,Perfume,Nivea,Men Cool Kick Deodorant,Beauty,475.45,383.59,Yes,4.1,Damaged item,da27ff6a-9c39-42c9-87f1-29e77c90db1e,58,Female,Port Stevenfort,2024-05-02,Debit Card,No,MarketBrand,Perfume Pro Series,60,3.7,Yes,10,Low quality,NEGATIVE,0.9996194839477539,NEGATIVE,0.9997710585594177
PRD34658,Sofa Cover,Panasonic,CozyFit Sofa Cover,Electronics,581.65,480.13,Yes,4.1,Durable product,c8aa080a-19c1-4ff5-9925-07e82d5f9211,31,Male,Joelton,2024-09-10,Debit Card,No,SureFit,Stretch Sofa Cover,60,3.2,Yes,20,Heating problem,POSITIVE,0.9998296499252319,NEGATIVE,0.9961709380149841
PRD37214,Smartwatch,Sony,SmartWatch 3,Electronics,184.38,167.84,Yes,4.5,Usability issue,3f52decd-5d97-4d10-8003-e17738f9f86c,37,Male,West Jenniferland,2024-08-10,Credit Card,No,Garmin,Venu 2,450,3.9,Yes,20,Heating problem,NEGATIVE,0.8492327928543091,NEGATIVE,0.9961709380149841
PRD20305,Laptop,Samsung,Galaxy Book3 Pro,Electronics,243.67,228.06,No,4.6,Low quality,30b6e754-af83-4edd-a7d0-23dad04d19ae,46,Female,Lake Michaelstad,2024-04-30,Cash on Delivery,Yes,Asus,VivoBook 15,50,4.0,Yes,10,Usability issue,NEGATIVE,0.9997710585594177,NEGATIVE,0.8492327928543091
PRD15270,Headphones,Samsung,Galaxy Buds2 Pro,Electronics,75.16,66.97,No,4.0,Damaged item,c1a2cc1f-3c2f-4480-b135-71b298c5c3f3,40,Male,North David,2024-02-23,Cash on Delivery,No,Philips,PH805,50,3.3,No,20,Usability issue,NEGATIVE,0.9996194839477539,NEGATIVE,0.8492327928543091
PRD22368,Perfume,L'Oreal,L'Oreal Eau de Parfum Classic,Beauty,102.99,87.82,No,4.4,Slow delivery,49389709-c833-4c85-84e1-0d92c901f7ef,35,Female,Dustinfort,2024-05-17,Cash on Delivery,Yes,MarketBrand,Perfume Pro Series,70,4.2,Yes,30,Damaged item,NEGATIVE,0.9997106194496155,NEGATIVE,0.9996194839477539
PRD42685,Shampoo,Dove,Intense Repair,Beauty,146.65,120.55,Yes,3.8,Value for money (positive),fa17b171-8ca5-440b-a93a-4873ca132913,29,Male,West Bianca,2024-08-16,Cash on Delivery,Yes,Tresemme,Botanique,110,3.5,No,35,Low quality,POSITIVE,0.9998134970664978,NEGATIVE,0.9997710585594177
PRD46735,Lipstick,Sephora,Sephora Rouge Satin,Beauty,310.59,284.25,No,4.5,Durable product,8662db17-7982-49b2-94e6-2bf164b4735c,32,Female,Lake Crystalborough,2024-03-31,Cash on Delivery,Yes,MAC,Matte Lipstick,50,3.7,No,20,Battery drains fast,POSITIVE,0.9998296499252319,NEGATIVE,0.7297149896621704
PRD11733,T-Shirt,Puma,Essentials Tee,Clothing,105.45,96.94,Yes,3.5,Satisfied customer,3369de5b-ea05-425e-a1af-2c6ffebb36a3,27,Other,New Michael,2024-03-06,Cash on Delivery,Yes,Levi's,Classic Logo Tee,50,3.9,Yes,20,Durable product,POSITIVE,0.9997509121894836,POSITIVE,0.9998296499252319
PRD18620,Jacket,Nike,Therma-FIT Repel Jacket,Clothing,212.37,199.31,No,3.7,Satisfied customer,3dbbdedb-e4a5-495b-952f-ac8eb41d6a33,19,Male,South Michael,2024-09-21,Debit Card,Yes,The North Face,ThermoBall,50,4.5,No,20,Damaged item,POSITIVE,0.9997509121894836,NEGATIVE,0.9996194839477539
PRD48493,Smartwatch,LG,LG Health Watch Pro,Electronics,400.71,323.09,No,4.4,Damaged item,14fc47ca-c541-4c00-b237-460a4e5a2666,42,Male,Wilsonfurt,2024-11-23,Cash on Delivery,No,Fitbit,Charge 6,50,4.2,No,10,Damaged item,NEGATIVE,0.9996194839477539,NEGATIVE,0.9996194839477539
PRD26804,Smartwatch,Sony,Wena 3,Electronics,91.41,82.97,No,3.8,Packaging issue,2913d847-fcbb-4063-a9df-b440ec685252,29,Female,West Matthewburgh,2024-05-17,Credit Card,Yes,Fitbit,Charge 6,450,3.1,No,25,Slow delivery,NEGATIVE,0.9910193085670471,NEGATIVE,0.9997106194496155
PRD44306,Curtains,Ikea,HILJA Sheer,Electronics,200.89,179.7,Yes,3.4,Low quality,96aa8227-c52d-4b36-a056-a85656ad5cd0,34,Female,Charlesmouth,2024-10-11,Credit Card,No,Pottery Barn,Velvet Curtain,70,3.3,Yes,30,Satisfied customer,NEGATIVE,0.9997710585594177,POSITIVE,0.9997509121894836
PRD47523,Jacket,Levi's,Type III Sherpa Trucker,Clothing,504.14,405.35,No,4.2,Durable product,ac4234ad-e551-4080-b7f4-fb5bc8fd2f9a,55,Male,North Jason,2024-05-06,Cash on Delivery,No,Adidas,Tiro Track Jacket,50,3.8,Yes,30,Packaging issue,POSITIVE,0.9998296499252319,NEGATIVE,0.9910193085670471
PRD32208,Sofa Cover,Ikea,KLIPPAN Cover,Electronics,145.84,120.01,Yes,4.2,Battery drains fast,6badddeb-d9e7-4597-88e0-09f7e91d8c6b,55,Other,North Riley,2024-06-16,Debit Card,Yes,Wayfair Basics,Microfiber Slipcover,60,3.2,No,30,Satisfied customer,NEGATIVE,0.7297149896621704,POSITIVE,0.9997509121894836
