Feedback,Rating,Competitor_Rating,Competitor_Feedback,Market_Price,Competitor_Price,Rating_Diff,Feedback_Sentiment,Feedback_Score,Competitor_Sentiment,Competitor_Score
Low quality,3.4,3.3,Satisfied customer,200.89,70,0.1,Negative,0.7362154126167297,Positive,0.889923095703125
Durable product,4.2,3.8,Packaging issue,504.14,50,0.4000000000000003,Negative,0.6017242670059204,Negative,0.49921920895576477
Battery drains fast,4.2,3.2,Satisfied customer,145.84,60,1.0,Negative,0.7789279818534851,Positive,0.889923095703125
Damaged item,4.3,3.1,Battery drains fast,469.68,70,1.1999999999999995,Negative,0.598777174949646,Negative,0.7789279818534851
Packaging issue,4.4,4.5,Packaging issue,414.66,90,-0.0999999999999996,Negative,0.49921920895576477,Negative,0.49921920895576477
Battery drains fast,3.6,3.2,Value for money (positive),148.23,70,0.3999999999999999,Negative,0.7789279818534851,Positive,0.6127797365188599
Value for money (positive),3.6,4.5,Durable product,30.51,70,-0.8999999999999999,Positive,0.6127797365188599,Negative,0.6017242670059204
Low quality,4.4,3.9,Durable product,326.61,60,0.5000000000000004,Negative,0.7362154126167297,Negative,0.6017242670059204
Durable product,3.9,3.0,Damaged item,51.17,50,0.8999999999999999,Negative,0.6017242670059204,Negative,0.598777174949646
Usability issue,3.4,4.5,Slow delivery,538.05,60,-1.1,Negative,0.5037590265274048,Negative,0.7610791921615601
Battery drains fast,3.7,4.3,Heating problem,289.61,70,-0.5999999999999996,Negative,0.7789279818534851,Negative,0.5841841697692871
Slow delivery,3.9,3.8,Usability issue,34.21,90,0.1,Negative,0.7610791921615601,Negative,0.5037590265274048
Packaging issue,4.2,3.7,Durable product,218.56,70,0.5,Negative,0.49921920895576477,Negative,0.6017242670059204
Heating problem,3.7,3.8,Damaged item,509.52,70,-0.0999999999999996,Negative,0.5841841697692871,Negative,0.598777174949646
Durable product,3.5,3.5,Heating problem,465.62,70,0.0,Negative,0.6017242670059204,Negative,0.5841841697692871
Heating problem,3.8,4.2,Satisfied customer,275.54,60,-0.4000000000000003,Negative,0.5841841697692871,Positive,0.889923095703125
Satisfied customer,4.6,3.6,Durable product,254.64,70,0.9999999999999996,Positive,0.889923095703125,Negative,0.6017242670059204
Battery drains fast,4.0,4.3,Damaged item,352.75,70,-0.2999999999999998,Negative,0.7789279818534851,Negative,0.598777174949646
Satisfied customer,3.5,4.2,Value for money (positive),332.27,70,-0.7000000000000002,Positive,0.889923095703125,Positive,0.6127797365188599
Durable product,3.9,4.2,Value for money (positive),366.13,60,-0.3000000000000002,Negative,0.6017242670059204,Positive,0.6127797365188599
Usability issue,4.0,4.1,Satisfied customer,423.57,70,-0.0999999999999996,Negative,0.5037590265274048,Positive,0.889923095703125
Damaged item,3.4,3.5,Battery drains fast,203.65,50,-0.1,Negative,0.598777174949646,Negative,0.7789279818534851
Usability issue,4.6,3.9,Heating problem,205.93,70,0.6999999999999997,Negative,0.5037590265274048,Negative,0.5841841697692871
Durable product,4.0,3.7,Satisfied customer,174.46,50,0.2999999999999998,Negative,0.6017242670059204,Positive,0.889923095703125
Battery drains fast,4.4,3.7,Battery drains fast,461.4,70,0.7000000000000002,Negative,0.7789279818534851,Negative,0.7789279818534851
Usability issue,3.3,3.5,Packaging issue,480.57,60,-0.2000000000000001,Negative,0.5037590265274048,Negative,0.49921920895576477
Satisfied customer,3.8,4.3,Low quality,25.37,400,-0.5,Positive,0.889923095703125,Negative,0.7362154126167297
Packaging issue,3.9,3.2,Value for money (positive),257.16,60,0.6999999999999997,Negative,0.49921920895576477,Positive,0.6127797365188599
Low quality,4.3,4.2,Heating problem,184.49,50,0.0999999999999996,Negative,0.7362154126167297,Negative,0.5841841697692871
Value for money (positive),4.0,4.1,Usability issue,537.28,350,-0.0999999999999996,Positive,0.6127797365188599,Negative,0.5037590265274048
Slow delivery,4.2,4.2,Damaged item,305.55,50,0.0,Negative,0.7610791921615601,Negative,0.598777174949646
Low quality,3.4,3.4,Packaging issue,282.09,60,0.0,Negative,0.7362154126167297,Negative,0.49921920895576477
Slow delivery,3.7,3.9,Durable product,259.62,50,-0.1999999999999997,Negative,0.7610791921615601,Negative,0.6017242670059204
Heating problem,4.2,4.5,Packaging issue,548.07,400,-0.2999999999999998,Negative,0.5841841697692871,Negative,0.49921920895576477
Damaged item,4.1,4.3,Usability issue,236.19,400,-0.2000000000000001,Negative,0.598777174949646,Negative,0.5037590265274048
Slow delivery,3.4,3.3,Battery drains fast,93.93,60,0.1,Negative,0.7610791921615601,Negative,0.7789279818534851
Slow delivery,3.9,3.6,Battery drains fast,400.3,50,0.2999999999999998,Negative,0.7610791921615601,Negative,0.7789279818534851
Usability issue,4.3,4.6,Usability issue,323.47,50,-0.2999999999999998,Negative,0.5037590265274048,Negative,0.5037590265274048
Low quality,3.7,3.1,Low quality,442.5,60,0.6000000000000001,Negative,0.7362154126167297,Negative,0.7362154126167297
Durable product,4.0,3.0,Battery drains fast,184.22,70,1.0,Negative,0.6017242670059204,Negative,0.7789279818534851
Durable product,4.4,3.8,Heating problem,352.72,50,0.6000000000000005,Negative,0.6017242670059204,Negative,0.5841841697692871
Battery drains fast,3.9,3.9,Usability issue,533.18,60,0.0,Negative,0.7789279818534851,Negative,0.5037590265274048
Low quality,4.2,4.1,Usability issue,261.51,50,0.1000000000000005,Negative,0.7362154126167297,Negative,0.5037590265274048
Durable product,3.3,4.1,Damaged item,219.01,50,-0.7999999999999998,Negative,0.6017242670059204,Negative,0.598777174949646
Packaging issue,3.9,4.1,Durable product,357.94,50,-0.1999999999999997,Negative,0.49921920895576477,Negative,0.6017242670059204
Damaged item,2.9,3.0,Durable product,223.43,50,-0.1,Negative,0.598777174949646,Negative,0.6017242670059204
Packaging issue,2.9,3.0,Slow delivery,379.52,50,-0.1,Negative,0.49921920895576477,Negative,0.7610791921615601
Low quality,3.6,3.7,Usability issue,181.56,50,-0.1,Negative,0.7362154126167297,Negative,0.5037590265274048
Value for money (positive),3.6,3.9,Usability issue,19.66,50,-0.2999999999999998,Positive,0.6127797365188599,Negative,0.5037590265274048
Satisfied customer,4.1,4.6,Damaged item,473.09,50,-0.5,Positive,0.889923095703125,Negative,0.598777174949646
Low quality,3.7,4.2,Usability issue,428.23,70,-0.5,Negative,0.7362154126167297,Negative,0.5037590265274048
Battery drains fast,4.6,3.2,Heating problem,256.23,70,1.3999999999999997,Negative,0.7789279818534851,Negative,0.5841841697692871
Value for money (positive),4.5,3.2,Satisfied customer,261.39,50,1.2999999999999998,Positive,0.6127797365188599,Positive,0.889923095703125
Durable product,3.8,3.9,Value for money (positive),444.03,450,-0.1,Negative,0.6017242670059204,Positive,0.6127797365188599
Satisfied customer,4.6,3.9,Usability issue,552.25,50,0.6999999999999997,Positive,0.889923095703125,Negative,0.5037590265274048
Durable product,4.2,4.3,Satisfied customer,531.53,450,-0.0999999999999996,Negative,0.6017242670059204,Positive,0.889923095703125
Heating problem,4.4,4.3,Battery drains fast,192.39,50,0.1000000000000005,Negative,0.5841841697692871,Negative,0.7789279818534851
Slow delivery,3.6,4.1,Packaging issue,525.37,110,-0.4999999999999995,Negative,0.7610791921615601,Negative,0.49921920895576477
Heating problem,4.3,4.1,Slow delivery,269.07,70,0.2000000000000001,Negative,0.5841841697692871,Negative,0.7610791921615601
Battery drains fast,4.3,3.1,Low quality,518.0,70,1.1999999999999995,Negative,0.7789279818534851,Negative,0.7362154126167297
Heating problem,4.1,4.1,Value for money (positive),523.92,70,0.0,Negative,0.5841841697692871,Positive,0.6127797365188599
Battery drains fast,3.7,4.3,Usability issue,209.1,70,-0.5999999999999996,Negative,0.7789279818534851,Negative,0.5037590265274048
Low quality,3.8,3.9,Value for money (positive),169.28,60,-0.1,Negative,0.7362154126167297,Positive,0.6127797365188599
Battery drains fast,4.0,3.7,Satisfied customer,467.67,60,0.2999999999999998,Negative,0.7789279818534851,Positive,0.889923095703125
Slow delivery,4.5,4.1,Value for money (positive),375.81,70,0.4000000000000003,Negative,0.7610791921615601,Positive,0.6127797365188599
Usability issue,4.6,4.3,Usability issue,231.55,60,0.2999999999999998,Negative,0.5037590265274048,Negative,0.5037590265274048
Durable product,3.6,3.6,Heating problem,453.57,50,0.0,Negative,0.6017242670059204,Negative,0.5841841697692871
Packaging issue,3.9,3.9,Damaged item,450.67,50,0.0,Negative,0.49921920895576477,Negative,0.598777174949646
Battery drains fast,4.5,3.6,Durable product,291.08,60,0.8999999999999999,Negative,0.7789279818534851,Negative,0.6017242670059204
Damaged item,3.7,3.6,Damaged item,416.0,70,0.1,Negative,0.598777174949646,Negative,0.598777174949646
Satisfied customer,3.5,3.5,Low quality,392.28,50,0.0,Positive,0.889923095703125,Negative,0.7362154126167297
Satisfied customer,4.5,4.0,Packaging issue,503.62,50,0.5,Positive,0.889923095703125,Negative,0.49921920895576477
Battery drains fast,4.2,3.2,Usability issue,124.17,400,1.0,Negative,0.7789279818534851,Negative,0.5037590265274048
Satisfied customer,3.4,3.2,Low quality,290.7,70,0.1999999999999997,Positive,0.889923095703125,Negative,0.7362154126167297
Usability issue,4.5,3.2,Durable product,111.03,400,1.2999999999999998,Negative,0.5037590265274048,Negative,0.6017242670059204
Value for money (positive),4.3,4.5,Low quality,343.26,400,-0.2000000000000001,Positive,0.6127797365188599,Negative,0.7362154126167297
Heating problem,4.4,3.6,Low quality,87.33,50,0.8000000000000003,Negative,0.5841841697692871,Negative,0.7362154126167297
Usability issue,3.9,3.6,Usability issue,221.97,70,0.2999999999999998,Negative,0.5037590265274048,Negative,0.5037590265274048
Low quality,3.7,4.6,Low quality,421.67,60,-0.8999999999999995,Negative,0.7362154126167297,Negative,0.7362154126167297
Heating problem,4.0,3.5,Damaged item,524.52,70,0.5,Negative,0.5841841697692871,Negative,0.598777174949646
Slow delivery,4.0,3.0,Damaged item,121.86,50,1.0,Negative,0.7610791921615601,Negative,0.598777174949646
Battery drains fast,4.1,3.3,Satisfied customer,236.36,70,0.7999999999999998,Negative,0.7789279818534851,Positive,0.889923095703125
Low quality,3.9,4.4,Durable product,463.61,50,-0.5000000000000004,Negative,0.7362154126167297,Negative,0.6017242670059204
Heating problem,3.2,3.9,Low quality,223.76,50,-0.6999999999999997,Negative,0.5841841697692871,Negative,0.7362154126167297
Satisfied customer,4.2,4.1,Packaging issue,383.51,70,0.1000000000000005,Positive,0.889923095703125,Negative,0.49921920895576477
Satisfied customer,4.0,3.2,Packaging issue,379.31,60,0.7999999999999998,Positive,0.889923095703125,Negative,0.49921920895576477
Heating problem,3.8,3.9,Durable product,137.28,70,-0.1,Negative,0.5841841697692871,Negative,0.6017242670059204
Usability issue,4.0,3.6,Durable product,509.29,50,0.3999999999999999,Negative,0.5037590265274048,Negative,0.6017242670059204
Damaged item,4.5,3.5,Value for money (positive),257.2,60,1.0,Negative,0.598777174949646,Positive,0.6127797365188599
Satisfied customer,4.3,4.0,Durable product,268.55,60,0.2999999999999998,Positive,0.889923095703125,Negative,0.6017242670059204
Battery drains fast,3.5,3.4,Packaging issue,183.37,70,0.1,Negative,0.7789279818534851,Negative,0.49921920895576477
Durable product,4.3,4.3,Low quality,95.08,80,0.0,Negative,0.6017242670059204,Negative,0.7362154126167297
Packaging issue,2.9,4.4,Battery drains fast,84.87,50,-1.5000000000000004,Negative,0.49921920895576477,Negative,0.7789279818534851
Battery drains fast,4.5,3.5,Damaged item,223.77,90,1.0,Negative,0.7789279818534851,Negative,0.598777174949646
Usability issue,3.5,4.1,Slow delivery,312.75,60,-0.5999999999999996,Negative,0.5037590265274048,Negative,0.7610791921615601
Usability issue,4.1,3.5,Damaged item,409.15,520,0.5999999999999996,Negative,0.5037590265274048,Negative,0.598777174949646
Low quality,3.6,3.7,Heating problem,472.04,70,-0.1,Negative,0.7362154126167297,Negative,0.5841841697692871
Value for money (positive),4.0,3.9,Value for money (positive),493.97,70,0.1,Positive,0.6127797365188599,Positive,0.6127797365188599
Damaged item,4.4,3.7,Satisfied customer,229.36,70,0.7000000000000002,Negative,0.598777174949646,Positive,0.889923095703125
Satisfied customer,3.6,3.1,Slow delivery,545.97,70,0.5,Positive,0.889923095703125,Negative,0.7610791921615601
Value for money (positive),4.4,4.6,Usability issue,325.33,80,-0.1999999999999993,Positive,0.6127797365188599,Negative,0.5037590265274048
Heating problem,3.8,4.4,Battery drains fast,378.7,70,-0.6000000000000005,Negative,0.5841841697692871,Negative,0.7789279818534851
Heating problem,4.3,4.4,Durable product,500.01,50,-0.1000000000000005,Negative,0.5841841697692871,Negative,0.6017242670059204
Value for money (positive),4.1,3.8,Satisfied customer,129.8,60,0.2999999999999998,Positive,0.6127797365188599,Positive,0.889923095703125
Packaging issue,3.8,3.6,Damaged item,141.08,130,0.1999999999999997,Negative,0.49921920895576477,Negative,0.598777174949646
Battery drains fast,4.4,4.3,Damaged item,563.16,70,0.1000000000000005,Negative,0.7789279818534851,Negative,0.598777174949646
Satisfied customer,4.1,4.0,Damaged item,257.48,450,0.0999999999999996,Positive,0.889923095703125,Negative,0.598777174949646
Slow delivery,3.4,4.0,Battery drains fast,296.91,70,-0.6000000000000001,Negative,0.7610791921615601,Negative,0.7789279818534851
Heating problem,4.1,4.6,Value for money (positive),145.18,70,-0.5,Negative,0.5841841697692871,Positive,0.6127797365188599
Value for money (positive),4.3,4.4,Packaging issue,231.28,130,-0.1000000000000005,Positive,0.6127797365188599,Negative,0.49921920895576477
Slow delivery,3.7,3.8,Packaging issue,427.61,70,-0.0999999999999996,Negative,0.7610791921615601,Negative,0.49921920895576477
Durable product,3.9,3.6,Damaged item,137.27,60,0.2999999999999998,Negative,0.6017242670059204,Negative,0.598777174949646
Low quality,4.1,4.6,Usability issue,388.28,60,-0.5,Negative,0.7362154126167297,Negative,0.5037590265274048
Satisfied customer,4.7,3.5,Battery drains fast,197.59,60,1.2000000000000002,Positive,0.889923095703125,Negative,0.7789279818534851
Damaged item,4.1,3.4,Value for money (positive),104.82,60,0.6999999999999997,Negative,0.598777174949646,Positive,0.6127797365188599
Slow delivery,4.3,3.9,Low quality,279.74,60,0.3999999999999999,Negative,0.7610791921615601,Negative,0.7362154126167297
Damaged item,3.7,4.6,Usability issue,132.96,70,-0.8999999999999995,Negative,0.598777174949646,Negative,0.5037590265274048
Battery drains fast,4.1,4.0,Packaging issue,293.53,50,0.0999999999999996,Negative,0.7789279818534851,Negative,0.49921920895576477
Usability issue,3.6,4.4,Slow delivery,240.76,50,-0.8000000000000003,Negative,0.5037590265274048,Negative,0.7610791921615601
Slow delivery,3.7,3.2,Usability issue,523.41,60,0.5,Negative,0.7610791921615601,Negative,0.5037590265274048
Damaged item,3.8,4.3,Heating problem,374.22,70,-0.5,Negative,0.598777174949646,Negative,0.5841841697692871
Slow delivery,4.3,4.2,Packaging issue,527.54,50,0.0999999999999996,Negative,0.7610791921615601,Negative,0.49921920895576477
Durable product,4.2,4.0,Usability issue,29.0,70,0.2000000000000001,Negative,0.6017242670059204,Negative,0.5037590265274048
Battery drains fast,3.7,3.5,Satisfied customer,200.77,50,0.2000000000000001,Negative,0.7789279818534851,Positive,0.889923095703125
Damaged item,3.6,4.0,Slow delivery,370.06,110,-0.3999999999999999,Negative,0.598777174949646,Negative,0.7610791921615601
Battery drains fast,4.4,4.0,Value for money (positive),196.82,80,0.4000000000000003,Negative,0.7789279818534851,Positive,0.6127797365188599
Slow delivery,3.9,3.8,Battery drains fast,361.22,70,0.1,Negative,0.7610791921615601,Negative,0.7789279818534851
Battery drains fast,3.8,3.5,Low quality,162.73,280,0.2999999999999998,Negative,0.7789279818534851,Negative,0.7362154126167297
Battery drains fast,4.0,3.7,Battery drains fast,279.98,50,0.2999999999999998,Negative,0.7789279818534851,Negative,0.7789279818534851
Usability issue,4.1,3.8,Satisfied customer,392.18,60,0.2999999999999998,Negative,0.5037590265274048,Positive,0.889923095703125
Usability issue,4.3,4.0,Slow delivery,195.44,60,0.2999999999999998,Negative,0.5037590265274048,Negative,0.7610791921615601
Low quality,4.1,4.1,Usability issue,539.14,70,0.0,Negative,0.7362154126167297,Negative,0.5037590265274048
Value for money (positive),4.6,4.2,Damaged item,456.9,500,0.3999999999999994,Positive,0.6127797365188599,Negative,0.598777174949646
Packaging issue,3.9,4.1,Durable product,267.43,400,-0.1999999999999997,Negative,0.49921920895576477,Negative,0.6017242670059204
Damaged item,4.1,4.5,Damaged item,476.97,280,-0.4000000000000003,Negative,0.598777174949646,Negative,0.598777174949646
Usability issue,3.6,3.6,Satisfied customer,508.11,60,0.0,Negative,0.5037590265274048,Positive,0.889923095703125
Slow delivery,4.2,4.4,Durable product,67.27,70,-0.2000000000000001,Negative,0.7610791921615601,Negative,0.6017242670059204
Packaging issue,4.3,4.5,Battery drains fast,211.77,90,-0.2000000000000001,Negative,0.49921920895576477,Negative,0.7789279818534851
Packaging issue,4.3,3.3,Value for money (positive),425.9,520,1.0,Negative,0.49921920895576477,Positive,0.6127797365188599
Durable product,4.2,3.4,Slow delivery,556.91,70,0.8000000000000003,Negative,0.6017242670059204,Negative,0.7610791921615601
Battery drains fast,3.5,3.7,Usability issue,450.38,60,-0.2000000000000001,Negative,0.7789279818534851,Negative,0.5037590265274048
Value for money (positive),4.5,3.6,Slow delivery,61.12,70,0.8999999999999999,Positive,0.6127797365188599,Negative,0.7610791921615601
Battery drains fast,3.8,4.6,Damaged item,102.47,60,-0.7999999999999998,Negative,0.7789279818534851,Negative,0.598777174949646
Low quality,3.0,3.3,Satisfied customer,36.76,70,-0.2999999999999998,Negative,0.7362154126167297,Positive,0.889923095703125
Heating problem,4.5,4.5,Heating problem,504.37,60,0.0,Negative,0.5841841697692871,Negative,0.5841841697692871
Heating problem,3.9,4.2,Packaging issue,55.62,50,-0.3000000000000002,Negative,0.5841841697692871,Negative,0.49921920895576477
Battery drains fast,3.9,4.4,Damaged item,109.35,70,-0.5000000000000004,Negative,0.7789279818534851,Negative,0.598777174949646
Battery drains fast,3.5,4.2,Packaging issue,19.54,130,-0.7000000000000002,Negative,0.7789279818534851,Negative,0.49921920895576477
Value for money (positive),3.7,3.8,Damaged item,346.22,50,-0.0999999999999996,Positive,0.6127797365188599,Negative,0.598777174949646
Satisfied customer,4.3,4.6,Packaging issue,278.71,50,-0.2999999999999998,Positive,0.889923095703125,Negative,0.49921920895576477
Durable product,4.4,3.5,Satisfied customer,275.22,50,0.9000000000000004,Negative,0.6017242670059204,Positive,0.889923095703125
Value for money (positive),3.9,3.3,Damaged item,177.57,70,0.6000000000000001,Positive,0.6127797365188599,Negative,0.598777174949646
Low quality,4.0,3.1,Value for money (positive),313.6,60,0.8999999999999999,Negative,0.7362154126167297,Positive,0.6127797365188599
