Product_ID,Product_Name,Brand,Model,Category,Market_Price,Purchase_Amount,Discount_Applied,Rating,Feedback,Customer_ID,Age,Gender,City,Purchase_Date,Payment_Method,Repeat_Customer,Competitor_Name,Competitor_Model,Competitor_Price,Competitor_Rating,Promotion_Competitor,Market_Share,Competitor_Feedback,Name_Brand_Model_Match,Category_Match,Fixed_Category
PRD42685,Shampoo,Garnier,Intense Repair,Clothing,146.65,116.78,Yes,3.8,Value for money (positive),fa17b171-8ca5-440b-a93a-4873ca132913,29,Male,West Bianca,2024-03-14,Cash on Delivery,Yes,Tresemme,Botanique,110,3.5,No,35,Low quality,False,False,Beauty
PRD46735,Lipstick,Sephora,Sephora Rouge Satin,Beauty,310.59,265.14,Yes,4.5,Durable product,8662db17-7982-49b2-94e6-2bf164b4735c,32,Female,Lake Crystalborough,2024-03-05,Cash on Delivery,No,MAC,Matte Lipstick,50,3.7,No,20,Battery drains fast,True,False,Beauty
PRD18620,Jacket,Zara,Therma-FIT Repel Jacket,Clothing,212.37,149.6,Yes,3.7,Satisfied customer,3dbbdedb-e4a5-495b-952f-ac8eb41d6a33,19,Male,South Michael,2024-04-24,Debit Card,Yes,The North Face,ThermoBall,50,4.5,No,20,Damaged item,True,True,Clothing
PRD48493,Smartwatch,LG,LG Health Watch Pro,Electronics,400.71,359.98,Yes,4.4,Damaged item,14fc47ca-c541-4c00-b237-460a4e5a2666,42,Male,Wilsonfurt,2024-08-13,Cash on Delivery,No,Fitbit,Charge 6,50,4.2,No,10,Damaged item,True,True,Electronics
PRD26804,Smartwatch,Garmin,Wena 3,Electronics,91.41,91.41,No,3.8,Packaging issue,2913d847-fcbb-4063-a9df-b440ec685252,29,Female,West Matthewburgh,2025-06-02,Credit Card,No,Fitbit,Charge 6,450,3.1,No,25,Slow delivery,False,True,Electronics
PRD44306,Curtains,Ikea,HILJA Sheer,Electronics,200.89,200.89,No,3.4,Low quality,96aa8227-c52d-4b36-a056-a85656ad5cd0,34,Female,Charlesmouth,2023-10-09,Credit Card,No,Pottery Barn,Velvet Curtain,70,3.3,Yes,30,Satisfied customer,False,True,Electronics
PRD47523,Jacket,Levi's,Type III Sherpa Trucker,Clothing,504.14,504.14,No,4.2,Durable product,ac4234ad-e551-4080-b7f4-fb5bc8fd2f9a,55,Male,North Jason,2024-10-03,Cash on Delivery,No,Adidas,Tiro Track Jacket,50,3.8,Yes,30,Packaging issue,False,True,Clothing
PRD02531,Smartwatch,Apple,Galaxy Watch5 Pro,Electronics,469.68,375.33,Yes,4.3,Damaged item,1c370bfe-528d-4f9a-8f71-30c7f27f94be,50,Male,Nancyborough,2022-12-17,Credit Card,Yes,Garmin,Venu 2,70,3.1,No,30,Battery drains fast,False,True,Electronics
PRD17747,Dress,Adidas,Adidas Originals 3-Stripes Dress,Electronics,414.66,414.66,No,4.4,Packaging issue,edfd778d-bc13-4a57-b5b2-f3e99edca92c,20,Female,Beckyview,2024-07-20,Credit Card,Yes,Nike,Sportswear Dress,90,4.5,Yes,40,Packaging issue,True,False,Clothing
PRD08271,Sofa Cover,LG,EKTORP Sofa Cover,Electronics,148.23,148.23,No,3.6,Battery drains fast,64b5baa3-6dc0-4716-a396-4a8abaecaf13,42,Female,Joshuafurt,2023-02-24,Debit Card,Yes,Home Centre,Quilted Protector,70,3.2,Yes,20,Value for money (positive),True,False,Home
PRD15080,Shampoo,Sephora,Sephora Daily Smooth Shampoo,Beauty,30.51,22.95,Yes,3.6,Value for money (positive),766a7ae1-ccd9-4aea-b65f-9d9555bb8804,51,Male,New Anthonyport,2024-06-13,Debit Card,No,Pantene,Pro-V,70,4.5,Yes,10,Durable product,True,True,Beauty
PRD13625,Smartphone,LG,LG Series X1,Electronics,326.61,326.61,No,4.4,Low quality,d68aecb7-e80a-4cda-b00e-a285603c6da7,53,Male,Stephanietown,2023-02-20,Cash on Delivery,No,Samsung,Galaxy Z Flip5,60,3.9,Yes,10,Durable product,True,True,Electronics
PRD30441,Face Cream,L'Oreal,Revitalift Day Cream,Beauty,538.05,426.28,Yes,3.4,Usability issue,55d3ee6b-4a19-4243-a94e-6bdbeba7b524,55,Male,Barnetthaven,2024-07-12,Cash on Delivery,No,Lakme,Absolute Argan Oil,60,4.5,No,10,Slow delivery,False,True,Beauty
PRD36057,Lipstick,Sephora,Sephora Collection Cream Lip Stain,Beauty,289.61,270.83,Yes,3.7,Battery drains fast,7ee01031-7f92-4662-a80a-56fc220b7818,48,Female,Chamberstown,2024-11-11,Debit Card,Yes,Maybelline,Color Sensational,70,4.3,No,30,Heating problem,True,True,Beauty
PRD42652,Jeans,Adidas,Adidas Denim Straight,Electronics,34.21,34.21,No,3.9,Slow delivery,55f8b4e9-eb2e-4839-955e-1751654e981e,54,Female,Adamview,2024-09-09,Debit Card,No,Lee,Rider,90,3.8,No,42,Usability issue,True,False,Clothing
PRD48225,Dress,Adidas,Adidas Originals 3-Stripes Dress,Electronics,509.52,428.15,Yes,3.7,Heating problem,ebd4359f-72a7-4e3d-b72a-4bf98eced7f6,33,Male,New Sandrafort,2023-01-09,Debit Card,Yes,Zara,Printed Midi Dress,70,3.8,No,45,Damaged item,True,False,Clothing
PRD05634,Smartphone,Samsung,Galaxy S23 Ultra,Electronics,275.54,275.54,No,3.8,Heating problem,7c466522-c0e3-464e-ab99-56afdafa081c,21,Male,Scottborough,2023-07-04,Credit Card,No,Huawei,Nova 11,60,4.2,Yes,20,Satisfied customer,False,True,Electronics
PRD05988,Headphones,LG,LG TONE Free T90,Electronics,254.64,254.64,No,4.6,Satisfied customer,d022cb89-da12-423f-ac7c-951ebcf1c36e,41,Female,West Sarah,2023-08-18,Credit Card,Yes,Philips,SHP9500,70,3.6,No,10,Durable product,True,True,Electronics
PRD01813,Face Cream,Ge,Hydra Genius,Beauty,332.27,289.0,Yes,3.5,Satisfied customer,34b7a758-3c7d-4ff8-927e-2e7d817ac056,52,Male,Morganmouth,2024-10-04,Debit Card,No,Lakme,Peach Milk,70,4.2,No,20,Value for money (positive),True,True,Beauty
PRD03929,Lipstick,Sephora,Sephora Rouge Satin,Beauty,203.65,170.65,Yes,3.4,Damaged item,0b2f771e-4806-42a1-9cf2-2b0f9d953d3d,52,Female,Christopherfurt,2025-04-02,Credit Card,Yes,Revlon,Super Lustrous,50,3.5,Yes,10,Battery drains fast,True,False,Beauty
PRD25769,Cookware,Adidas,Non-Stick Cookware Set,Clothing,257.16,222.83,Yes,3.9,Packaging issue,42dd2734-1430-498c-9a12-48e10241ab7a,44,Male,Brianport,2022-09-10,Debit Card,Yes,Philips,Viva Airfryer,60,3.2,No,30,Value for money (positive),True,False,Clothing
PRD29104,Face Cream,Ge,Hydra Genius,Beauty,184.49,156.32,Yes,4.3,Low quality,815280af-63ad-4a22-a3cf-43dd6ae63f14,47,Male,South Lydiabury,2022-11-29,Cash on Delivery,No,Nivea,Soft,50,4.2,Yes,30,Heating problem,True,True,Beauty
PRD36538,Smartphone,Ge,iPhone SE (3rd gen),Beauty,537.28,411.33,Yes,4.0,Value for money (positive),ff895cdc-3714-47ca-a61a-a67ac9fd2992,31,Male,Aaronville,2025-03-08,Debit Card,Yes,OnePlus,OnePlus 11,350,4.1,No,40,Usability issue,True,False,Electronics
PRD17841,Laptop,Apple,MacBook Air M2,Electronics,548.07,548.07,No,4.2,Heating problem,3c406cb2-9548-4bff-bb3e-c4faea5b47a8,30,Male,New Jennifertown,2024-01-13,Debit Card,Yes,HP,Envy 13,400,4.5,No,35,Packaging issue,False,True,Electronics
PRD27803,Headphones,Ge,AirPods (3rd gen),Electronics,236.19,236.19,No,4.1,Damaged item,df0e3ef5-bf9e-4a48-9115-8f4900f6bfe9,35,Male,South Leahchester,2024-04-10,Cash on Delivery,Yes,Philips,SHP9500,400,4.3,No,35,Usability issue,True,True,Electronics
PRD37190,Curtains,Panasonic,Panasonic Thermal Curtain Set,Electronics,184.22,184.22,No,4.0,Durable product,7cc3fdc7-5331-4c9d-936d-66190692bdfb,22,Female,Charlottebury,2024-02-16,Debit Card,Yes,Pottery Barn,Velvet Curtain,70,3.0,Yes,30,Battery drains fast,True,True,Electronics
PRD47150,Smartphone,LG,Galaxy Z Flip5,Electronics,352.72,327.32,Yes,4.4,Durable product,cb75f58a-d21d-487a-a6f5-2887923d9625,23,Female,Timothymouth,2025-03-02,Cash on Delivery,Yes,Xiaomi,Poco F5,50,3.8,Yes,10,Heating problem,False,True,Electronics
PRD46916,T-Shirt,Puma,Better Cotton Tee,Clothing,533.18,533.18,No,3.9,Battery drains fast,1f9cc824-c023-472d-af4a-1b00b850f0ce,48,Male,Johnsontown,2024-12-25,Credit Card,No,Reebok,Classic Tee,60,3.9,No,10,Usability issue,False,True,Clothing
PRD09802,Perfume,L'Oreal,L'Oreal Eau de Cologne Fresh,Beauty,261.51,217.03,Yes,4.2,Low quality,96b475de-25b7-45de-b59a-336243760836,19,Male,Delgadomouth,2025-02-16,Debit Card,Yes,MarketBrand,Perfume Pro Series,50,4.1,No,20,Usability issue,True,True,Beauty
PRD38801,Curtains,Philips,Philips Thermal Curtain Set,Electronics,219.01,161.97,Yes,3.3,Durable product,a52ebb0a-91b8-49b0-955d-a4517d4be811,50,Male,New Christophermouth,2024-01-23,Credit Card,No,Target,Room Darkening,50,4.1,Yes,20,Damaged item,True,True,Electronics
PRD44234,Dress,Levi's,Levi's Utility Dress,Electronics,223.43,223.43,No,2.9,Damaged item,ae0f90a0-b673-4418-86c4-d5e0ccb11380,24,Female,Ronaldfurt,2024-05-27,Debit Card,No,Mango,Ruffled Dress,50,3.0,No,30,Durable product,True,False,Clothing
PRD31920,Lamp,LG,FADO Table Lamp,Electronics,379.52,297.63,Yes,2.9,Packaging issue,bc657320-8bd2-494d-9b3a-334f9ae5d0a2,49,Male,East Jennifer,2023-04-07,Cash on Delivery,No,Mi,Desk Lamp Pro,50,3.0,No,10,Slow delivery,True,False,Electronics
PRD07135,Perfume,L'Oreal,L'Oreal Body Mist Blossom,Beauty,181.56,135.19,Yes,3.6,Low quality,f0fefd0e-0879-4895-a930-ee81c54fedf0,35,Male,New Mary,2024-04-25,Debit Card,No,MarketBrand,Perfume Pro Series,50,3.7,Yes,10,Usability issue,True,True,Beauty
PRD33705,Lamp,Whirlpool,Whirlpool LED Bulb 9W,Beauty,19.66,19.66,No,3.6,Value for money (positive),862c7ec0-c072-4147-8aea-35ee9c4be8a3,43,Female,West Amy,2024-04-28,Credit Card,Yes,Xiaomi,Mi LED Desk Lamp 1S,50,3.9,No,20,Usability issue,True,False,Beauty
PRD29661,Lamp,Panasonic,Panasonic LED 9W,Electronics,473.09,473.09,No,4.1,Satisfied customer,ff106538-640e-4ee3-ba62-27458bd56356,60,Male,Adamsborough,2023-06-25,Debit Card,Yes,Xiaomi,Mi Smart Lamp,50,4.6,Yes,20,Damaged item,True,False,Electronics
PRD17894,Jeans,Adidas,Adidas Denim Tapered,Electronics,428.23,367.53,Yes,3.7,Low quality,55c9b994-6741-411b-ac55-c45d2a3b844a,25,Male,Lisaton,2024-08-18,Credit Card,Yes,Diesel,TEPPHAR,70,4.2,Yes,40,Usability issue,True,False,Clothing
PRD22019,Smartwatch,Huawei,Galaxy Watch6,Electronics,256.23,209.02,Yes,4.6,Battery drains fast,acccbc1b-9217-4f0a-a81c-2aaafbbc1ea5,19,Male,Grayton,2025-03-27,Cash on Delivery,No,Garmin,Venu 2,70,3.2,No,30,Heating problem,False,True,Electronics
PRD13539,Dress,Puma,Puma Classics Dress,Electronics,261.39,242.08,Yes,4.5,Value for money (positive),52466a11-31c0-4e7e-9ef8-c305fa2d045f,34,Male,Deannaview,2023-04-07,Debit Card,Yes,Mango,Wrap Midi Dress,50,3.2,Yes,30,Satisfied customer,True,False,Clothing
PRD36421,Lamp,Panasonic,Panasonic LED 9W,Electronics,552.25,392.16,Yes,4.6,Satisfied customer,b2576e67-ff11-41ae-86a2-7ebf9edeab2f,18,Female,West Beverlybury,2024-05-30,Debit Card,Yes,Xiaomi,Mi Smart Lamp,50,3.9,No,10,Usability issue,True,False,Electronics
PRD13414,Smartwatch,LG,LG Health Watch Pro,Electronics,192.39,150.64,Yes,4.4,Heating problem,b0259db7-4adf-4ccd-9a22-04d676668a3b,35,Female,Lake Austintown,2023-03-15,Debit Card,Yes,Samsung,Watch5 Pro,50,4.3,Yes,30,Battery drains fast,True,True,Electronics
PRD06721,Lipstick,Dove,Dove Cream Satin Lipstick,Beauty,525.37,476.72,Yes,3.6,Slow delivery,71eea2ae-6c4b-49b8-b24a-8ad4c1b9b271,52,Male,New Stephanie,2025-04-02,Debit Card,Yes,MAC,Matte Lipstick,110,4.1,No,40,Packaging issue,True,True,Beauty
PRD15602,Perfume,Sephora,Sephora Body Mist Blossom,Beauty,269.07,269.07,No,4.3,Heating problem,82105612-2f0a-4b17-8d3e-21a1f53b6851,40,Female,West Johnstad,2025-03-07,Credit Card,Yes,MarketBrand,Perfume Pro Series,70,4.1,Yes,10,Slow delivery,True,True,Beauty
PRD44744,Curtains,Panasonic,Panasonic Blackout Curtain Set,Electronics,518.0,434.99,Yes,4.3,Battery drains fast,7b121dbb-2250-4470-aa71-0cd8e9685347,23,Female,Mccarthyburgh,2022-10-10,Debit Card,No,Pottery Barn,Belgian Flax Linen,70,3.1,No,20,Low quality,True,True,Electronics
PRD42091,Laptop,LG,LG UltraPC,Electronics,231.55,199.49,Yes,4.6,Usability issue,e4419eae-5d93-4402-a095-76a8268735a9,30,Male,Robertofort,2025-08-10,Debit Card,Yes,HP,Spectre x360,60,4.3,No,20,Usability issue,True,True,Electronics
PRD04065,Shampoo,L'Oreal,Elvive Total Repair 5,Beauty,416.0,326.05,Yes,3.7,Damaged item,0c03a2ce-0515-4b27-83bc-665f5fb60f7b,41,Male,New Debbiehaven,2023-02-14,Cash on Delivery,No,Sunsilk,Black Shine,70,3.6,Yes,20,Damaged item,False,True,Beauty
PRD41164,Smartwatch,Apple,Apple Watch Ultra,Electronics,124.17,124.17,No,4.2,Battery drains fast,0c089860-154d-4f3b-8822-3625e3950b09,26,Male,West Maryland,2023-10-04,Credit Card,Yes,Amazfit,Bip 3 Pro,400,3.2,Yes,35,Usability issue,True,True,Electronics
PRD36776,Headphones,LG,LG TONE Free T90,Clothing,524.52,419.68,Yes,4.0,Heating problem,58d9ea80-cefc-40c8-bbbd-503322b6ec36,48,Male,Sarahburgh,2024-12-23,Credit Card,Yes,Sennheiser,Momentum 4,70,3.5,Yes,30,Damaged item,True,False,Electronics
PRD48468,Jeans,Puma,Puma Tapered Fit Jeans,Electronics,236.36,212.76,Yes,4.1,Battery drains fast,0ba273fa-633d-48e9-aa1d-8c642b5b6da5,18,Male,Brucetown,2023-11-15,Cash on Delivery,Yes,Lee,Daren,70,3.3,No,10,Satisfied customer,True,False,Clothing
PRD14832,Lipstick,Nivea,Nivea Care & Color,Electronics,463.61,463.61,No,3.9,Low quality,93204a11-152e-48e9-99af-10d1a33c1ce1,41,Male,Johnsonton,2023-05-03,Credit Card,Yes,Sephora,Cream Lip Stain,50,4.4,Yes,10,Durable product,True,False,Electronics
PRD46089,Lipstick,Sephora,Sephora Rouge Satin,Beauty,137.28,137.28,No,3.8,Heating problem,eb30cc46-4e46-472c-b652-0bf4e392e0f6,55,Male,Port Mark,2023-08-15,Debit Card,No,Maybelline,Color Sensational,70,3.9,Yes,10,Durable product,True,False,Beauty
PRD45308,Perfume,L'Oreal,L'Oreal Body Mist Blossom,Beauty,257.2,257.2,No,4.5,Damaged item,f0e23e79-67ea-4a1a-b9ef-8a869711e3f7,45,Female,Ramirezborough,2024-09-30,Cash on Delivery,Yes,MarketBrand,Perfume Pro Series,60,3.5,No,20,Value for money (positive),True,True,Beauty
PRD26551,Laptop,LG,LG Gram 16,Electronics,268.55,268.55,No,4.3,Satisfied customer,391f8976-2a22-490d-bef2-98d00932b9f8,49,Male,West Dianeville,2023-03-21,Debit Card,No,Asus,VivoBook 15,60,4.0,Yes,30,Durable product,True,True,Electronics
